operation_id,source,quality_label,is_real_corpus,is_base,is_bijective,is_involution,strict_avalanche,avalanche_error,balance_error,differential_uniformity,max_anf_degree,mean_anf_degree,cycle_count,max_cycle_length,mean_cycle_length,complexity_score,effective_substitution_tables,control_bits,truth_0,truth_1,truth_2,truth_3,truth_4,truth_5,truth_6,truth_7,avalanche_0,avalanche_1,avalanche_2,avalanche_3,avalanche_4,avalanche_5,avalanche_6,avalanche_7,avalanche_8,hamming_dist_0,hamming_dist_1,hamming_dist_2,hamming_dist_3,balance_0,balance_1,balance_2,anf_degree_0,anf_degree_1,anf_degree_2
mc_weak_0230,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.5,1.0,0,0.0,0,0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0
mc_weak_0231,monte_carlo_weak_operation,weak,False,False,False,False,False,0.2222222222222222,0.08333333333333333,0.5,3,2.6666666666666665,0,0,0.0,7.0,4,2,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.7142857142857143,1.0,0.0,0.5714285714285714,1.0,0.25,0.5,0.75,0.75,0.5,0.75,0.75,1.0,0.75,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.625,0.5,0.625,3,2,3
mc_weak_0232,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.16666666666666666,1.0,1,0.6666666666666666,0,0,0.0,1.0,1,0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0,1,1
mc_weak_0233,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.16666666666666666,1.0,1,0.6666666666666666,0,0,0.0,5.0,4,2,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0,1,1
mc_weak_0234,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.5,1.0,0,0.0,0,0,0.0,4.0,4,2,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
mc_weak_0235,monte_carlo_weak_operation,weak,False,False,False,False,False,0.1388888888888889,0.20833333333333334,0.5,3,2.3333333333333335,0,0,0.0,8.0,8,2,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.7142857142857143,0.7142857142857143,0.5,0.5,0.25,0.5,0.5,0.75,0.0,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.25,0.25,0.625,2,2,3
mc_weak_0236,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.16666666666666666,1.0,1,0.6666666666666666,0,0,0.0,3.0,1,2,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0,1,1
mc_weak_0237,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.16666666666666666,1.0,1,0.6666666666666666,0,0,0.0,4.0,4,1,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0,1,1
mc_weak_0238,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.5,1.0,0,0.0,0,0,0.0,2.0,4,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
mc_weak_0239,monte_carlo_weak_operation,weak,False,False,False,False,False,0.25,0.125,0.75,3,3.0,0,0,0.0,7.0,4,2,0.5714285714285714,0.8571428571428571,1.0,0.0,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.0,0.25,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.625,0.375,0.375,3,3,3
mc_weak_0240,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.16666666666666666,1.0,1,0.6666666666666666,0,0,0.0,3.0,4,0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0,1,1
mc_weak_0241,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.16666666666666666,1.0,1,0.6666666666666666,0,0,0.0,3.0,2,1,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0,1,1
mc_weak_0242,monte_carlo_weak_operation,weak,False,False,False,False,False,0.5,0.5,1.0,0,0.0,0,0,0.0,3.0,8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0
