alpha,macro_f1,is_degenerate_alpha
0.0,0.7408467501490756,False
0.05,0.7462871287128714,False
0.1,0.7462871287128714,False
0.15,0.7462871287128714,False
0.2,0.7266666666666667,False
0.25,0.7362778730703259,False
0.3,0.7307848427687973,False
0.35,0.7273210960361798,False
0.4,0.708578431372549,False
0.45,0.7763148323270532,False
0.5,0.7483023879325466,True
0.55,0.770358464835379,False
0.6,0.6963262887616037,False
0.65,0.6904831482563802,False
0.7,0.7227053140096618,False
0.75,0.7441436251920124,False
0.8,0.7576539844145818,False
0.85,0.7576539844145818,False
0.9,0.7384511687248743,False
0.95,0.711205558606528,False
1.0,0.7117561545244393,False
