alpha,macro_f1,is_degenerate_alpha
0.0,0.90119151409474,False
0.05,0.8963389551624845,False
0.1,0.8963389551624845,False
0.15,0.90119151409474,False
0.2,0.90119151409474,False
0.25,0.9060477517876622,False
0.3,0.9060477517876622,False
0.35,0.910726441699893,False
0.4,0.9155937401124443,False
0.45,0.9155937401124443,False
0.5,0.752931172211199,True
0.55,0.9153960625503159,False
0.6,0.905663591890379,False
0.65,0.8911102484472049,False
0.7,0.8864664747017688,False
0.75,0.886642023628325,False
0.8,0.881796233703525,False
0.85,0.8914893617021278,False
0.9,0.881796233703525,False
0.95,0.8624144907987282,False
1.0,0.85271467077397,False
