alpha,macro_f1,is_degenerate_alpha
0.0,0.6747540983606557,False
0.05,0.684028328312457,False
0.1,0.6903527251120835,False
0.15,0.6963675213675214,False
0.2,0.6955969955969956,False
0.25,0.6779914529914529,False
0.3,0.6470092830520638,False
0.35,0.6089516614726699,False
0.4,0.570720247196738,False
0.45,0.6183818770226538,False
0.5,0.5695734256531729,True
0.55,0.6373208912248258,False
0.6,0.578912808324573,False
0.65,0.5363417708494109,False
0.7,0.5671296296296297,False
0.75,0.5814076142356956,False
0.8,0.5867582636399841,False
0.85,0.5839781103125041,False
0.9,0.5705603038936372,False
0.95,0.5932146773268269,False
1.0,0.6231623931623932,False
