alpha,macro_f1,is_degenerate_alpha
0.0,0.7786872540768983,False
0.05,0.7786872540768983,False
0.1,0.7786872540768983,False
0.15,0.7786872540768983,False
0.2,0.7884204545995726,False
0.25,0.7884204545995726,False
0.3,0.7884204545995726,False
0.35,0.7789881969226734,False
0.4,0.7692843205521301,False
0.45,0.7740358975548068,False
0.5,0.6135535967389842,True
0.55,0.7830186107480462,False
0.6,0.8142108937824103,False
0.65,0.8111828434305419,False
0.7,0.8111828434305419,False
0.75,0.8021620923476682,False
0.8,0.7992235537916935,False
0.85,0.8112411890539702,False
0.9,0.8200841961912796,False
0.95,0.823052946320273,False
1.0,0.823052946320273,False
