alpha,macro_f1,is_degenerate_alpha
0.0,0.44530909070512276,False
0.05,0.4876525014328994,False
0.1,0.5198878988856882,False
0.15,0.5198878988856882,False
0.2,0.5198878988856882,False
0.25,0.48971054278290466,False
0.3,0.47162439327110367,False
0.35,0.45658106726067893,False
0.4,0.4840896358543418,False
0.45,0.4644094343099318,False
0.5,0.3666864595300486,True
0.55,0.4982368097442537,False
0.6,0.4854527242341393,False
0.65,0.5242231774430203,False
0.7,0.45714081996434935,False
0.75,0.45714081996434935,False
0.8,0.48147868623340323,False
0.85,0.49162280077773035,False
0.9,0.5061911081619112,False
0.95,0.5143880010219287,False
1.0,0.4858880778588808,False
