alpha,macro_f1,is_degenerate_alpha
0.0,0.6891149870801033,False
0.05,0.6891149870801033,False
0.1,0.6891149870801033,False
0.15,0.6891149870801033,False
0.2,0.6891149870801033,False
0.25,0.6891149870801033,False
0.3,0.6891149870801033,False
0.35,0.6891149870801033,False
0.4,0.7013478945297127,False
0.45,0.6982456140350877,False
0.5,0.5909610983981693,True
0.55,0.6891149870801033,False
0.6,0.6920349154391707,False
0.65,0.6813868613138686,False
0.7,0.6534141108166098,False
0.75,0.6776923076923077,False
0.8,0.6776923076923077,False
0.85,0.6776923076923077,False
0.9,0.6776923076923077,False
0.95,0.6776923076923077,False
1.0,0.6776923076923077,False
