alpha,macro_f1,is_degenerate_alpha
0.0,0.6488020660206091,False
0.05,0.6335691447848746,False
0.1,0.631,False
0.15,0.6267055800843124,False
0.2,0.6498894916616436,False
0.25,0.6601868595539482,False
0.3,0.6299257272539716,False
0.35,0.6136080065836629,False
0.4,0.6089492042729454,False
0.45,0.5809551620696063,False
0.5,0.636914984972091,True
0.55,0.5819021039072563,False
0.6,0.5608079908739323,False
0.65,0.5607142857142857,False
0.7,0.6136080065836629,False
0.75,0.619352176604085,False
0.8,0.6317520556609741,False
0.85,0.6558420406424615,False
0.9,0.672,False
0.95,0.6588509972429895,False
1.0,0.6716443655898081,False
