alpha,macro_f1,is_degenerate_alpha
0.0,0.3772642390289449,False
0.05,0.3726917080736111,False
0.1,0.3675816993464052,False
0.15,0.3702515623805645,False
0.2,0.3665939634280679,False
0.25,0.3685346543392589,False
0.3,0.4028134185967616,False
0.35,0.4377652659632161,False
0.4,0.3854768898875703,False
0.45,0.33393904171509753,False
0.5,0.36404730031236054,True
0.55,0.3159660718219872,False
0.6,0.36144464592923237,False
0.65,0.36623746284296743,False
0.7,0.3458933606767496,False
0.75,0.3521386800334169,False
0.8,0.35675446968250935,False
0.85,0.3570909504038338,False
0.9,0.34816239316239317,False
0.95,0.33179546256512443,False
1.0,0.32771858428906153,False
