alpha,macro_f1,is_degenerate_alpha
0.0,0.6553178847296495,False
0.05,0.6591911764705882,False
0.1,0.645782555446421,False
0.15,0.6747065545692549,False
0.2,0.6775395703666668,False
0.25,0.6681297074476497,False
0.3,0.671485805945629,False
0.35,0.6832236719824542,False
0.4,0.653918270212117,False
0.45,0.6177556293835363,False
0.5,0.45481649069884367,True
0.55,0.6242979197768622,False
0.6,0.6272448173036153,False
0.65,0.6929108726923999,False
0.7,0.7077015915655881,False
0.75,0.6871025641025641,False
0.8,0.698455667789001,False
0.85,0.6809277217277514,False
0.9,0.6797645877689499,False
0.95,0.6755478449220916,False
1.0,0.6833747624552,False
