alpha,macro_f1,is_degenerate_alpha
0.0,0.5777130030883882,False
0.05,0.5540021397650601,False
0.1,0.5523104942073155,False
0.15,0.575735455898531,False
0.2,0.5777130030883882,False
0.25,0.5896629662966296,False
0.3,0.598629258792334,False
0.35,0.5966594618645538,False
0.4,0.5865730849714542,False
0.45,0.5773397339733973,False
0.5,0.49571270418181057,True
0.55,0.5947014792803481,False
0.6,0.5779438520775154,False
0.65,0.5952886104937024,False
0.7,0.59288769472645,False
0.75,0.59288769472645,False
0.8,0.5832342390519013,False
0.85,0.5731702582022908,False
0.9,0.5486889146017624,False
0.95,0.534244921985933,False
1.0,0.5478979270476066,False
