alpha,macro_f1,is_degenerate_alpha
0.0,0.6619883040935672,False
0.05,0.6657128182551912,False
0.1,0.6520467836257311,False
0.15,0.6665609524041863,False
0.2,0.6665609524041863,False
0.25,0.6581420765027323,False
0.3,0.6711284807034685,False
0.35,0.6571428571428573,False
0.4,0.6202473543287008,False
0.45,0.6242158717514688,False
0.5,0.641674194519723,True
0.55,0.6053571428571428,False
0.6,0.6761904761904762,False
0.65,0.6756915400983197,False
0.7,0.65929855585028,False
0.75,0.6426086312828485,False
0.8,0.6357784092337868,False
0.85,0.5888372093023255,False
0.9,0.5869281045751633,False
0.95,0.582632416458286,False
1.0,0.6299848435908266,False
