scorer,spearman_vs_nonlinearity,spearman_vs_neg_diff_uniformity,spearman_vs_composite_circular
composite,0.47246731838853456,0.7502911165119192,1.0
rule_based,0.34248034163209723,0.5670261450883907,0.936360609697185
reconstruction,-0.21886870389272547,-0.42454224784091105,-0.329826367278013
hybrid,0.45262438939738714,0.724430578122171,0.9914830501097642
