alpha,macro_f1,is_degenerate_alpha
0.0,0.8763540736809091,False
0.05,0.8862457477864365,False
0.1,0.8862457477864365,False
0.15,0.8816852635629088,False
0.2,0.8864976769938133,False
0.25,0.876627909775884,False
0.3,0.8805361305361306,False
0.35,0.8588154269972451,False
0.4,0.7687179487179487,False
0.45,0.7447073474470733,False
0.5,0.7243533971367555,True
0.55,0.82575,False
0.6,0.8657888993962319,False
0.65,0.8907884540875629,False
0.7,0.8856720254116051,False
0.75,0.8853495440729483,False
0.8,0.8901714397038769,False
0.85,0.8433996205120623,False
0.9,0.8373983739837398,False
0.95,0.8217878343806662,False
1.0,0.806910569105691,False
