alpha,macro_f1,is_degenerate_alpha
0.0,0.9493875898370281,False
0.05,0.9493875898370281,False
0.1,0.9393939393939394,False
0.15,0.9493875898370281,False
0.2,0.9594155844155844,False
0.25,0.9594155844155844,False
0.3,0.9594155844155844,False
0.35,0.9594155844155844,False
0.4,0.9594155844155844,False
0.45,0.9796001631986944,False
0.5,0.9586606035551881,True
0.55,0.9897698209718669,False
0.6,0.9897698209718669,False
0.65,0.9594155844155844,False
0.7,0.9594155844155844,False
0.75,0.9493875898370281,False
0.8,0.9493875898370281,False
0.85,0.9493875898370281,False
0.9,0.9493875898370281,False
0.95,0.9493875898370281,False
1.0,0.9493875898370281,False
