alpha,macro_f1,is_degenerate_alpha
0.0,0.7774531208061518,False
0.05,0.7642307598295077,False
0.1,0.7642307598295077,False
0.15,0.7642307598295077,False
0.2,0.7642307598295077,False
0.25,0.7642307598295077,False
0.3,0.7690051555232564,False
0.35,0.7858732595005703,False
0.4,0.7858732595005703,False
0.45,0.7647483112107918,False
0.5,0.6115495008147431,True
0.55,0.7691427443139571,False
0.6,0.7818650588082284,False
0.65,0.7816990073918296,False
0.7,0.7687248100975674,False
0.75,0.7642307598295077,False
0.8,0.7687248100975674,False
0.85,0.7731302691620745,False
0.9,0.7816990073918296,False
0.95,0.7858732595005703,False
1.0,0.7841900911837385,False
