alpha,macro_f1,is_degenerate_alpha
0.0,0.7533698347614721,False
0.05,0.7750054876710324,False
0.1,0.7657142857142858,False
0.15,0.7657142857142858,False
0.2,0.7803428794077537,False
0.25,0.7750054876710324,False
0.3,0.7634363721181467,False
0.35,0.7219710669077757,False
0.4,0.68523096942095,False
0.45,0.6637566137566138,False
0.5,0.6360693400167083,True
0.55,0.6827934805034042,False
0.6,0.7423671176166186,False
0.65,0.7650057315675227,False
0.7,0.7542146859477844,False
0.75,0.7244623655913979,False
0.8,0.7142572680207089,False
0.85,0.6939911448450349,False
0.9,0.6758975928192574,False
0.95,0.6697691068551996,False
1.0,0.6776075487012987,False
