alpha,macro_f1,is_degenerate_alpha
0.0,0.8145944402132521,False
0.05,0.8146297353893014,False
0.1,0.8097560975609756,False
0.15,0.8097560975609756,False
0.2,0.8097379881487827,False
0.25,0.8291219128819453,False
0.3,0.8241852487135506,False
0.35,0.8284682875516987,False
0.4,0.8264770611139326,False
0.45,0.8667581425579547,False
0.5,0.7154343783557267,True
0.55,0.8661394471450337,False
0.6,0.8264770611139326,False
0.65,0.8327092933947773,False
0.7,0.8186664754117956,False
0.75,0.7995229576624925,False
0.8,0.7996949548390172,False
0.85,0.7900640643978184,False
0.9,0.8046502763483896,False
0.95,0.775347817800648,False
1.0,0.7604054859868813,False
