alpha,macro_f1,is_degenerate_alpha
0.0,0.6995369195039162,False
0.05,0.6995369195039162,False
0.1,0.6995369195039162,False
0.15,0.6995369195039162,False
0.2,0.712594533724321,False
0.25,0.712594533724321,False
0.3,0.7209479087443628,False
0.35,0.7445202000515012,False
0.4,0.7445202000515012,False
0.45,0.7332298854885488,False
0.5,0.6128665371867678,True
0.55,0.7378823934136945,False
0.6,0.7255819778406413,False
0.65,0.7166429636384691,False
0.7,0.7033750121686547,False
0.75,0.6885945364801839,False
0.8,0.6885945364801839,False
0.85,0.6899656632329899,False
0.9,0.678178322033884,False
0.95,0.678178322033884,False
1.0,0.6826380603224692,False
