source,count,acceptable_share,mean_avalanche_error,mean_balance_error,mean_complexity
monte_carlo_borderline_operation,128,0.7734375,0.15321180555555555,0.0,11.268021680172026
monte_carlo_random_permutation,256,0.78515625,0.16536458333333334,0.0,11.426262988782678
monte_carlo_weak_operation,256,0.0,0.4239366319444444,0.24560546875,3.65625
real_cet_reconstructed,384,0.375,0.375,0.0,11.824342188131013
