n,model_repetitions,metric_bootstrap_repetitions,mean_macro_f1,std_macro_f1,ci95_low,ci95_high,bias_from_one
50,20,1000,0.7758482489732489,0.14580654098952212,0.7091170964452214,0.8364874847374848,0.2241517510267511
100,20,1000,0.8599407845112517,0.05953371615713343,0.8327158945592181,0.885638381471283,0.14005921548874833
200,20,1000,0.9547825233982878,0.028607184247743993,0.9408736631934537,0.9669218459874267,0.04521747660171216
500,20,1000,0.9733218393791218,0.028114741146351534,0.9597977802948046,0.9848860721940634,0.026678160620878244
1000,20,1000,0.9969456757227528,0.004074412541569985,0.9951645700032494,0.9984796221924171,0.003054324277247167
